name,category,subcategory,email,phone,address,rating,website
Northwest Eatery,Food,cafe,admin@gmail.com,(206) 680-5816,"8516 Rainier Ave S, Seattle WA 98121",4.0,https://www.northwesteateryseattle.com
Capitol Hill Eatery,Food,cafe,admin@gmail.com,(206) 889-4789,"6710 Dexter Ave N, Seattle WA 98101",4.1,https://www.capitolhilleateryseattle.com
Artisan Place Eatery,Food,cafe,info@outlook.com,(206) 770-2713,"1759 Union St, Seattle WA 98108",3.8,https://www.artisanplaceeatery.biz
Fremont Tavern,Food,fast_food,admin@business.com,(206) 412-7925,"9555 1st Ave, Seattle WA 98109",4.7,https://www.fremonttavernseattle.com
Fremont Eatery,Food,fast_food,contact@fremonteateryseattle.com,(206) 610-6177,"259 23rd Ave, Seattle WA 98116",4.8,https://www.fremonteatery.com
Emerald City House,Food,bar,info@emeraldcityhousseattle.com,(206) 235-2517,"9588 3rd Ave, Seattle WA 98108",4.8,https://www.emeraldcityhouse.biz
Fremont House Bakery,Food,restaurant,hello@fremonthousebakseattle.com,(206) 736-7498,"2716 4th Ave, Seattle WA 98119",4.4,https://www.fremonthousebakery.com
Pacific Center Kitchen,Food,fast_food,contact@business.com,(206) 901-2198,"2684 23rd Ave, Seattle WA 98121",3.8,https://www.pacificcenterkitchenseattle.com
Urban Studio Tavern,Food,restaurant,contact@business.com,(206) 800-5700,"6774 23rd Ave, Seattle WA 98107",4.6,https://www.urbanstudiotavern.com
Artisan Eatery,Food,restaurant,hello@outlook.com,(206) 729-9305,"7947 Broadway, Seattle WA 98125",3.5,https://www.artisaneatery.com
Pike Place Grill,Food,restaurant,pikeplaceg@pikeplacegrill.com,(206) 785-6816,"6144 Rainier Ave S, Seattle WA 98102",4.9,https://www.pikeplacegrillseattle.com
Fremont Grill,Food,bakery,admin@gmail.com,(206) 486-5376,"8456 Capitol Hill, Seattle WA 98108",4.6,https://www.fremontgrill.net
Fremont Deli,Food,restaurant,admin@gmail.com,(206) 681-1622,"2898 15th Ave E, Seattle WA 98116",4.6,https://www.fremontdeli.com
The Bistro,Food,bar,thebistro@yahoo.com,(206) 875-9049,"3658 California Ave SW, Seattle WA 98119",4.9,https://www.thebistro.biz
Emerald City Bistro,Food,cafe,info@emeraldcitybist.com,(206) 616-5838,"1350 Aurora Ave N, Seattle WA 98121",3.7,https://www.emeraldcitybistro.biz
Chic Studio Hair Studio,Salon,beauty_salon,chicstudio@chicstudiohairsseattle.com,(206) 525-2318,"9700 Union St, Seattle WA 98101",4.2,https://www.chicstudiohairstudio.biz
Bella Barbershop,Salon,barber_shop,bellabarbe@business.com,(206) 885-6100,"2029 Dexter Ave N, Seattle WA 98103",3.5,https://www.bellabarbershop.net
Modern House Hair Care,Salon,barber_shop,contact@outlook.com,(206) 386-4739,"3443 Rainier Ave S, Seattle WA 98107",4.8,https://www.modernhousehaircareseattle.com
Elite Hair Care,Salon,barber_shop,info@business.com,(206) 920-6152,"7786 Broadway, Seattle WA 98125",4.6,https://www.elitehaircare.com
Bella Salon,Salon,beauty_salon,hello@bellasalon.com,(206) 720-6248,"257 Capitol Hill, Seattle WA 98107",4.9,https://www.bellasalon.com
Seattle House Styling,Salon,barber_shop,info@business.com,(206) 334-7227,"3675 Madison St, Seattle WA 98109",4.7,https://www.seattlehousestylingseattle.com
Luxe Beauty Bar,Salon,beauty_salon,hello@luxebeautybarseattle.com,(206) 554-9169,"8740 Dexter Ave N, Seattle WA 98107",4.3,https://www.luxebeautybar.com
Modern & Co Hair Care,Salon,barber_shop,info@business.com,(206) 388-4433,"1218 Aurora Ave N, Seattle WA 98102",3.6,https://www.modernandcohaircare.com
Urban Hair Care,Salon,barber_shop,urbanhairc@business.com,(206) 476-9465,"2521 5th Ave, Seattle WA 98109",4.4,https://www.urbanhaircareseattle.com
Bella Salon,Salon,hair_care,contact@bellasalonseattle.com,(206) 289-4074,"9424 5th Ave, Seattle WA 98104",4.3,https://www.bellasalon.com
Elite Beauty Bar,Salon,beauty_salon,admin@outlook.com,(206) 358-5794,"6074 Capitol Hill, Seattle WA 98115",4.3,https://www.elitebeautybar.biz
Modern Hair Care,Salon,hair_care,info@yahoo.com,(206) 265-7699,"8691 Capitol Hill, Seattle WA 98107",4.5,https://www.modernhaircare.net
Urban Hair Lounge,Salon,barber_shop,urbanhairl@business.com,(206) 656-7526,"5061 Westlake Ave N, Seattle WA 98122",4.4,https://www.urbanhairlounge.net
Seattle Styling,Salon,beauty_salon,admin@business.com,(206) 886-6804,"7092 Ballard Ave NW, Seattle WA 98119",3.8,https://www.seattlestyling.biz
Emerald Studio Beauty Bar,Salon,barber_shop,info@gmail.com,(206) 640-6486,"706 2nd Ave, Seattle WA 98125",4.7,https://www.emeraldstudiobeautybseattle.com
Radiance Nail Salon,Beauty,massage_therapist,radiancena@business.com,(206) 227-2442,"3525 Queen Anne Ave N, Seattle WA 98104",4.5,https://www.radiancenailsalon.com
Bliss Wellness Center,Beauty,beauty_salon,info@blisswellnessce.com,(206) 906-2878,"2097 3rd Ave, Seattle WA 98105",4.4,https://www.blisswellnesscenterseattle.com
